signal_date,stage,watchlist_n,confirmed_n,gate
20250901,趋势过滤后为空,0,0,
20250902,趋势过滤后为空,0,0,
20250903,趋势过滤后为空,0,0,
20250904,趋势过滤后为空,0,0,
20250905,趋势过滤后为空,0,0,
20250908,趋势过滤后为空,0,0,
20250909,趋势过滤后为空,0,0,
20250910,趋势过滤后为空,0,0,
20250911,趋势过滤后为空,0,0,
20250912,趋势过滤后为空,0,0,
20250915,趋势过滤后为空,0,0,
20250916,趋势过滤后为空,0,0,
20250917,趋势过滤后为空,0,0,
20250918,趋势过滤后为空,0,0,
20250919,趋势过滤后为空,0,0,
20250922,趋势过滤后为空,0,0,
20250923,评分后为空,0,0,caution
20250924,无突破确认,1,0,normal
20250925,评分后为空,0,0,caution
20250926,走稳过滤后为空,0,0,
20250929,评分后为空,0,0,normal
20250930,有确认成交,1,1,normal
20251009,无突破确认,1,0,normal
20251010,无突破确认,1,0,normal
20251013,走稳过滤后为空,0,0,
20251014,走稳过滤后为空,0,0,
20251015,有确认成交,1,1,normal
20251016,无突破确认,1,0,caution
20251017,评分后为空,0,0,caution
20251020,走稳过滤后为空,0,0,
20251021,走稳过滤后为空,0,0,
20251022,走稳过滤后为空,0,0,
20251023,走稳过滤后为空,0,0,
20251024,走稳过滤后为空,0,0,
20251027,无突破确认,1,0,normal
20251028,无突破确认,4,0,normal
20251029,有确认成交,5,1,normal
20251030,有确认成交,1,1,caution
20251031,无突破确认,3,0,normal
20251103,有确认成交,7,3,normal
20251104,无突破确认,4,0,normal
20251105,有确认成交,3,1,normal
20251106,有确认成交,3,2,normal
20251107,有确认成交,2,1,normal
20251110,有确认成交,4,2,normal
20251111,有确认成交,2,2,normal
20251112,有确认成交,3,1,normal
20251113,无突破确认,2,0,normal
20251114,有确认成交,6,3,normal
20251117,无突破确认,3,0,normal
20251118,有确认成交,4,1,caution
20251119,无突破确认,4,0,caution
20251120,有确认成交,6,1,caution
20251121,闸门禁止,0,0,stop
20251124,无突破确认,5,0,caution
20251125,有确认成交,5,2,caution
20251126,有确认成交,3,1,caution
20251127,有确认成交,3,1,normal
20251128,有确认成交,3,2,normal
20251201,无突破确认,1,0,normal
20251202,有确认成交,2,1,caution
20251203,有确认成交,5,1,caution
20251204,无突破确认,4,0,caution
20251205,有确认成交,7,1,normal
20251208,无突破确认,1,0,normal
20251209,无突破确认,1,0,caution
20251210,无突破确认,2,0,normal
20251211,评分后为空,0,0,caution
20251212,无突破确认,1,0,normal
20251215,无突破确认,3,0,normal
20251216,无突破确认,1,0,caution
20251217,有确认成交,11,5,normal
20251218,有确认成交,10,3,normal
20251219,有确认成交,8,3,normal
20251222,有确认成交,5,3,normal
20251223,无突破确认,5,0,caution
20251224,有确认成交,5,2,normal
20251225,有确认成交,7,1,normal
20251226,有确认成交,15,7,normal
20251229,有确认成交,4,1,normal
20251230,有确认成交,4,1,normal
20251231,有确认成交,5,3,normal
20260105,有确认成交,10,3,normal
20260106,有确认成交,5,4,normal
20260107,有确认成交,11,3,normal
20260108,有确认成交,4,3,normal
20260109,有确认成交,2,1,normal
20260112,有确认成交,2,2,normal
20260113,无突破确认,1,0,caution
20260114,无突破确认,1,0,normal
20260115,有确认成交,1,1,normal
20260116,有确认成交,2,2,normal
20260119,有确认成交,1,1,normal
20260120,有确认成交,4,2,normal
20260121,有确认成交,1,1,normal
20260122,走稳过滤后为空,0,0,
20260123,走稳过滤后为空,0,0,
20260126,无突破确认,2,0,normal
20260127,走稳过滤后为空,0,0,
20260128,走稳过滤后为空,0,0,
20260129,走稳过滤后为空,0,0,
20260130,走稳过滤后为空,0,0,
20260202,走稳过滤后为空,0,0,
20260203,走稳过滤后为空,0,0,
20260204,有确认成交,1,1,normal
20260205,评分后为空,0,0,caution
20260206,无突破确认,2,0,normal
20260209,有确认成交,2,1,normal
20260210,无突破确认,2,0,normal
20260211,无突破确认,1,0,normal
20260212,无突破确认,5,0,normal
20260213,无突破确认,2,0,caution
20260224,有确认成交,4,1,normal
20260225,有确认成交,3,1,normal
20260226,有确认成交,2,1,normal
20260227,无突破确认,1,0,normal
20260302,无突破确认,2,0,caution
20260303,评分后为空,0,0,caution
20260304,评分后为空,0,0,caution
20260305,评分后为空,0,0,caution
20260306,无突破确认,1,0,normal
20260309,走稳过滤后为空,0,0,
20260310,走稳过滤后为空,0,0,
20260311,走稳过滤后为空,0,0,
20260312,走稳过滤后为空,0,0,
20260313,走稳过滤后为空,0,0,
20260316,走稳过滤后为空,0,0,
20260317,走稳过滤后为空,0,0,
20260318,走稳过滤后为空,0,0,
20260319,走稳过滤后为空,0,0,
20260320,走稳过滤后为空,0,0,
20260323,走稳过滤后为空,0,0,
20260324,走稳过滤后为空,0,0,
20260325,走稳过滤后为空,0,0,
20260326,走稳过滤后为空,0,0,
20260327,走稳过滤后为空,0,0,
20260330,走稳过滤后为空,0,0,
